COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & E POSURE,Natural,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LOCC,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Life Expectancy(2023),1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Afghanistan,AFG,8.1,Very0High,4,2.8,8.9,6.8,9.7,7.2,0,0,8.9,7,10,10,10,8.5,7.8,8.5,8.7,5.6,9,10,2,4.4,10,7.2,7.1,7.1,7.3,6.3,8.2,6.9,6.3,6.5,8,65,29,31,33,36,38,40,44,48,52,54,57,60,62
Albania,ALB,3.1,Low,112,2.9,3.8,6.3,9.3,4.7,7.8,0,6.6,4.6,0.1,0.1,0,1.7,2,1.9,1.9,2.3,1.4,2.3,0.2,0.6,0,1,0.5,4.4,5.9,0,5.9,2.5,2.2,1.4,4,79,55,59,65,66,68,70,71,72,72,73,75,76,78
Algeria,DZA,3.6,Medium,91,2.2,3.6,4.7,8.8,5.2,4.6,0,2.4,3.4,2.2,3.1,0,2.9,2.5,3.2,3.2,0.2,3.2,5.3,0.3,1.2,0.1,0,0.4,4.4,5,3.5,6.4,3.8,3.1,4.1,4,77,43,45,47,49,51,55,62,66,67,69,72,74,75
Angola,AGO,4.6,Medium,48,1.7,2.7,3.1,0.1,5.1,0,0,3.7,6.9,2.2,3.2,0,5.1,5.8,8,6.9,0.1,4.3,4.7,4.7,4.9,0,5.1,3.9,6.9,6.3,5.2,7.3,7.4,6.5,7.9,8,61,31,33,34,36,38,40,41,41,42,45,50,56,60
Antigua and Barbuda,ATG,2.2,Low,150,6.2,2,3.7,5.2,0.1,0,8.4,0,3.5,0,0,0,1.5,2,2.4,0,1.2,0.9,0,0.1,0.5,0,5.2,1.8,3.7,5.4,5.4,5.3,1.6,0.9,0.7,3,77,59,61,63,65,67,68,70,71,72,73,74,75,76
Argentina,ARG,2.9,Low,121,3.7,2.4,4.1,6.7,6.5,0,0,4.6,4,0.2,0.3,0,2.8,1.7,1.1,4.4,0,3.8,6.1,0.3,0.6,0.3,0.9,0.5,3.6,4.8,3.8,5.8,2.1,1.4,3,2,77,63,65,65,66,67,69,70,71,72,73,74,75,76
Armenia,ARM,4.6,Medium,48,2.5,8.4,4.4,8.2,4.3,0,0,4.9,5.1,10,0.1,10,2.6,1.6,1.3,1.7,2,3.5,5.6,0.2,0.7,0,1.8,0.7,4.5,6.4,7.5,5.2,1.7,1.6,1.2,2,75,63,65,67,69,71,71,71,68,68,70,72,73,74
Australia,AUS,2.4,Low,141,3.4,2.9,4.8,0.2,5.3,7.2,4.8,6.4,2.2,0.4,0.5,0,2.2,0.5,0,1.8,0,3.7,6,0.1,0.3,0.3,0.8,0.4,2.1,2.4,2.4,2.3,1.8,1.9,3,0,83,69,70,71,71,72,74,75,76,78,79,80,81,82
Austria,AUT,1.9,Very0Low,160,4.5,1.5,2.5,4.2,5.5,0,0,1.9,1.7,0.4,0.5,0,3,0.3,0,1.1,0.1,5,7.7,0.1,0.3,0,0.4,0.2,1.5,2.1,2,2.2,0.8,1.8,0,1,82,67,68,70,70,71,72,73,75,76,78,79,80,81
Azerbaijan,AZE,5.8,High,27,6.4,8.5,4.8,8.8,4.9,0,0,5,5.3,10,4.7,10,5,2.7,2.9,4.3,0.6,6.7,9.2,0.5,1.3,0,1.4,0.8,4.6,6.2,0,6.2,2.5,1.6,2.7,3,73,58,60,62,63,64,64,64,65,65,66,67,70,72
Bahamas,BHS,2.1,Low,153,5.3,1.8,3.3,0.1,0.1,0,8.8,1.5,3.7,0,0,0,1.7,2,1.7,4.5,0.2,1.3,0.8,0.7,0.9,0,4.7,1.8,3.1,3.9,0,3.9,2.2,1.8,2,3,74,60,62,64,65,67,68,69,70,71,72,73,74,75
Bahrain,BHR,1.2,Very0Low,185,5.1,0.5,0.8,0.1,0.1,0,0,0,3.7,0.2,0.3,0,1.1,1.2,1,2.8,0,1,1.2,0.1,0.5,0,2.3,0.8,3,4.4,3.8,5,1.4,1.4,0,3,77,43,48,55,61,65,68,71,72,73,74,75,76,76
Bangladesh,BGD,5.5,High,29,2.1,6.3,8.1,9.2,10,8.2,6.9,3.9,7.5,3.3,4.7,0,5.5,4.8,6.6,4.6,1.2,6.2,7.7,2.6,3.6,5.9,3.6,4,4.9,5,3,7,4.7,4.4,4.6,5,72,41,44,47,49,46,52,54,57,60,64,67,69,71
Barbados,BRB,2,Low,156,5.9,2.1,3.8,5.6,0.1,5.7,4.6,0.5,4.2,0,0,0,1.4,2.3,2.6,3.4,0.5,0.5,0,0.5,0.9,0.6,2,1,2.6,3.3,2.7,3.8,1.8,1.7,0.2,3,79,57,60,62,65,66,68,69,71,72,73,74,75,75
Belarus,BLR,1.8,Very0Low,167,4,1.1,2,0.1,6.2,0,0,1.5,2.2,0.1,0.1,0,1.7,1.1,1.5,0.8,0.6,2.2,3.7,0.5,0.2,0,1.1,0.5,3,4.5,2.8,6.2,1.1,1.4,0.3,2,74,61,66,69,70,71,70,70,71,69,67,68,69,72
Belgium,BEL,1.7,Very0Low,173,4.7,1.1,1.8,3.4,4,0,0,1,1.5,0.3,0.4,0,2.5,0.3,0,0.6,0.4,4.2,6.7,0.1,0.3,0.4,0.1,0.2,1.9,2.8,0,2.8,0.9,2,0,1,82,68,69,70,71,72,73,74,75,76,77,78,80,81
Belize,BLZ,3.9,Medium,79,5.2,3.2,5.5,2.4,8.4,5.3,7.2,2.4,4.3,0,0,0,3.6,4,4.2,5.5,2.1,3.1,3.9,0.8,1,3.7,2.6,2.1,5.2,6.3,0,6.3,3.9,4,3,5,75,56,59,61,64,67,69,70,71,71,69,69,70,70
Benin,BEN,3.8,Medium,83,1.1,1.7,2.9,0.1,5.1,0,0,1,7.5,0.4,0.5,0,4.7,6.2,8.6,5.7,1.9,2.8,2.4,4.2,5.2,0.2,1.9,3.1,6.7,5.6,5.5,5.7,7.5,7,8.3,7,62,34,36,38,41,43,46,48,52,55,55,56,59,60
Bhutan,BTN,3.1,Low,112,4,2,3.5,7.4,5.1,0,0,0,4.9,0.1,0.1,0,3.5,5.3,6.9,4.4,3.1,1.2,0,1.7,2.5,0,4.2,2.2,4.4,4.2,4.5,3.8,4.5,4,4.3,5,72,32,34,35,38,41,44,47,51,55,59,63,67,69
Bolivia,BOL,4,Medium,75,2.5,3.1,4.8,7.7,5.5,0,0,6.5,5.3,0.9,1.3,0,3.8,4.4,5.8,5.1,0.9,3.2,3.5,0.7,1.4,4.4,4.2,2.8,5.3,6.1,5.6,6.6,4.4,2.7,4.8,6,71,40,41,43,45,47,49,51,54,56,59,62,65,68
Bosnia and Herzegovina,BIH,3.5,Medium,94,6.4,2.3,4,6.3,7.1,3.1,0,2.8,2.1,0.1,0.1,0,3.8,2.6,2.9,2,2.6,4.9,7,0.3,0.4,4,1.2,1.6,4.9,6.8,0,6.8,2.3,2.1,1.3,4,77,54,58,62,65,68,70,71,72,70,74,75,76,76
Botswana,BWA,2.9,Low,121,2.8,1.5,2.7,0.1,4.8,0,0,5.6,3.7,0.1,0.1,0,3.6,4.5,5.4,6.7,0.5,2.6,1.2,5.2,3.4,0,5.4,3.8,4.6,5.1,5.6,4.5,4,2.8,4.4,5,69,48,50,52,53,56,59,62,63,60,51,49,57,63
Brazil,BRA,4.5,Medium,55,4,5.7,4,1,8.1,0,0,4.5,6,7,10,7,3.8,3.3,3.7,5.7,0.1,4.3,6.6,0.7,1.1,0.4,1.2,0.9,4.3,5.2,4.3,6.1,3.2,2.2,3.4,4,76,51,53,56,58,60,61,63,64,66,69,71,73,75
Brunei,BRN,1.8,Very0Low,167,6.4,1.4,2.7,0.1,1.4,5,1.9,2.4,4.4,0,0,0,1.1,1.5,1.2,3.4,0,0.6,0,0.8,0.9,0,2.4,1.1,3.5,4.6,6,3.1,2.2,1.3,2.5,3,76,58,61,64,66,68,69,71,72,74,75,76,77,77
Bulgaria,BGR,2.7,Low,127,4.6,2,3.6,6.6,4.9,0,0,2.7,4.8,0.1,0.1,0,3.2,1.8,1.7,3.3,0.3,4.4,6.7,0.2,0.5,0,2.3,0.8,3.2,4.4,3.2,5.5,1.7,2,1.4,2,75,62,67,70,71,71,71,71,71,71,71,72,73,74
Burkina Faso,BFA,7,Very0High,12,2,7.1,3.6,0.1,4.6,0,0,5.6,7.3,9,8.7,9,7.7,7.3,9.6,6.8,3.2,8.1,9.8,3.6,4.8,3.3,4.1,4,6.4,4.7,3.2,6.1,7.7,7.5,9.1,6,61,31,33,36,38,40,43,48,49,49,50,52,55,59
Burundi,BDI,6,High,25,1.8,4.7,3.6,4.9,3.7,0,0,3.9,6.9,5.6,8,0,6.6,7,9.5,5.1,3.9,6.1,7.2,3.4,5.2,0.3,7.5,4.6,6.8,6.2,4.6,7.8,7.3,7.8,7.1,7,61,39,41,42,44,44,46,48,49,47,51,52,54,56
Cambodia,KHM,4.4,Medium,61,3.3,3.5,5.8,0.1,9.5,5.2,4,4.6,6.5,0.3,0.4,0,4,5.9,7.4,6.3,2.3,1.3,0,2.3,3.7,1.2,2.1,2.4,5.9,6.8,6.8,6.8,4.9,3.2,5.8,6,70,40,41,41,42,38,14,45,52,54,56,61,65,68
Cameroon,CMR,6.5,Very0High,19,2.6,7.1,3.6,0.1,6,0,0,3,7.9,9,9.4,9,6.7,5.9,7.9,6.5,1.3,7.3,9.3,4.7,4,0,2.1,2.9,5.9,4.9,2.6,7.1,6.8,5,7.5,8,59,39,40,43,45,47,50,52,53,51,49,51,54,56
Canada,CAN,2.4,Low,141,4.1,2.5,4.3,5.5,5.2,6.9,2.6,2.2,1.4,0.1,0.1,0,2.3,0.4,0,1.6,0,3.8,6.2,0.1,0.4,0.1,0.6,0.3,2.4,2.6,3,2.2,2.2,2.1,3,2,82,69,70,71,72,73,74,76,77,78,79,80,81,82
Cape Verde,CPV,2.4,Low,141,4.4,1,1.8,0.1,0.1,0,0,4.1,4.7,0.1,0.1,0,3.7,4.8,4.7,4.9,5,2.5,0,1.1,1.1,7.8,5.1,4.4,3.8,3.9,3.4,4.3,3.6,3,2.9,5,73,48,49,49,52,55,61,62,64,66,68,71,72,72
Central African Republic,CAF,8.5,Very0High,2,6,8.1,3.2,0.1,5.7,0,0,0.5,8,10,9.8,10,8.7,8.5,10,8.5,5.6,8.8,9.7,8.4,6.3,0.6,9.4,7.2,8.8,8,0,8,9.4,8.8,9.7,10,53,33,36,38,40,44,48,50,49,48,45,44,46,49
Chad,TCD,7.9,Very0High,6,2.6,7.3,4.1,0.1,7.5,0,0,5,7,9,10,9,7.6,7.3,10,6.3,2.8,7.9,9.3,3.4,6.7,0.8,7.8,5.3,8.8,8,0,8,9.4,8.9,9.9,10,54,36,37,39,40,43,44,45,47,47,48,48,49,52
Chile,CHL,3.4,Low,99,4.3,3.8,6.2,9.8,5.6,9.1,0,0.3,2.6,0.1,0.2,0,3.8,1.6,1,4.2,0,5.5,8.1,0.6,0.3,0,1.6,0.6,2.8,3.2,3.2,3.2,2.3,1.4,2.7,3,80,55,56,58,61,64,67,71,73,75,76,77,78,79
China,CHN,3.7,Medium,87,6,5,7.5,7.2,8.4,9.2,8.1,4.6,5.5,0.8,1.2,0,3,2.6,3.7,2.8,0,3.3,5.3,0.4,0.6,0.9,1,0.7,3.3,3.6,2.5,4.6,3,2,3.6,3,77,44,44,45,55,62,66,68,69,70,71,73,75,76
Colombia,COL,5.4,High,30,2.6,6.9,6.7,9.6,6.8,7.9,4.1,1.9,5.5,7,9.4,7,6.2,3.8,3.8,6.5,0.9,7.8,10,0.6,0.9,0.3,2.2,1,3.6,4.3,3,5.5,2.9,1.8,3.4,3,77,51,55,58,60,62,64,67,68,69,70,72,73,74
Comoros,COM,3.7,Medium,87,5.2,1.5,2.8,0.1,0.1,5.5,2.9,0,5.7,0.1,0.1,0,4.6,6.4,7.7,5.1,5,2.2,0,1.9,4.3,0,7.2,3.9,7.1,8,7.8,8.1,5.9,5.8,5.8,6,64,39,40,42,44,47,49,52,55,58,59,60,61,63
Congo,COG,5.1,High,35,3.7,2.8,3.9,0.1,8.6,0,0,1,7.1,1.5,2.1,0,6.5,5.5,7.1,6.8,0.8,7.4,8.8,5.8,3.1,0.7,7.9,5,7.5,7.9,0,7.9,7.1,5.9,8,8,64,56,59,62,65,68,70,73,75,76,77,78,78,79
Costa Rica,CRI,3.5,Medium,94,2.9,3.7,6.1,9.6,3.3,8.7,1.9,1,5,0.1,0.1,0,4.6,2.2,1.8,5,0.3,6.3,8.8,0.4,0.6,2.1,1.8,1.3,2.5,2.9,1.5,4.3,2.1,1.3,1.9,3,80,61,64,66,67,69,70,71,72,73,75,75,76,77
Croatia,HRV,2.6,Low,132,4.4,2.8,4.8,5.9,6.5,7.7,0,3.1,2.1,0.1,0.1,0,2,1.1,1,1.3,1.2,2.8,4.4,0.1,0.4,1.3,1.6,0.9,3.1,4.6,4.4,4.7,1.2,1.8,0.2,2,78,59,62,65,69,71,73,74,75,75,76,77,79,79
Cuba,CUB,2.3,Low,145,4.6,3.3,5.6,5.8,3.6,5.7,8,4.2,5,0.1,0.1,0,1.2,2,1.6,4.1,0.5,0.3,0,0.4,0.5,0.1,1.3,0.6,2.9,4,2.5,5.4,1.6,2.5,1.8,1,79,67,69,70,72,73,74,75,76,77,78,78,79,80
Cyprus,CYP,2.9,Low,121,5.1,2.4,4.3,8.7,0,6.4,0,2.9,2.5,0,0,0,4.1,0.6,0.3,1.4,0.4,6.5,9.1,0.1,0.2,0,2,0.6,2.6,4,0,4,1,1.1,0,2,81,67,70,70,70,70,71,71,71,73,74,76,77,78
Czech Republic,CZE,1.8,Very0Low,167,4.6,0.9,1.7,0.9,5.3,0,0,1.5,1.5,0.1,0.1,0,3.4,0.3,0,1,0.3,5.6,8.3,0.1,0.2,0,1.4,0.4,2,3.2,2.5,3.9,0.6,1.5,0,0,79,39,41,42,43,45,46,47,48,50,49,52,55,58
Democratic Republic of the Congo,COD,7.6,Very0High,7,3.3,7.3,4.4,4.5,7.5,0,0,0,8.3,9,10,9,7.5,6.6,8.9,6.3,2.2,8.2,9.5,5.3,5.7,0.3,8.6,5.7,8.1,7.9,7.5,8.2,8.3,7.3,9.6,8,60,71,72,72,73,74,74,74,75,75,76,77,79,80
Denmark,DNK,1.2,Very0Low,185,3.1,0.7,1.2,0.1,2.3,0,0,2.7,1.7,0.1,0.1,0,2.1,0.2,0,0.6,0.1,3.7,6,0.1,0.3,0,1.3,0.4,1.3,2,2.7,1.2,0.5,1.4,0,0,81,41,43,45,47,51,53,55,56,57,57,57,59,62
Djibouti,DJI,4.8,Medium,43,3.3,3.4,5.5,5.3,0.4,8.5,0,8.1,5.3,0.6,0.9,0,5.4,5.7,7.5,4.1,3.5,5.1,6.3,2.2,5.1,2.5,4.2,3.6,6.1,6.1,5.5,6.7,6,5.3,5.8,7,67,46,50,54,57,60,62,64,67,69,70,71,72,73
Dominican Republic,DOM,4.1,Medium,71,2.4,4.1,6.7,9.7,4.6,6.4,7.9,0.5,5.8,0.1,0.1,0,3.8,3.4,3.7,4.9,1.4,4.2,6.3,1.3,1.7,0.1,2,1.3,4.4,5.5,4.6,6.4,3,2.4,2,5,74,49,52,55,57,59,62,65,68,70,72,74,75,76
Ecuador,ECU,4.6,Medium,48,2.4,4.9,6.9,9.8,6.7,9.2,0,3.7,5,1.9,2.7,0,4.9,3.5,3.8,5.4,0.8,6.1,8.4,0.4,1.1,0.7,4.5,1.8,4,4.6,3,6.2,3.4,2.7,3.1,4,77,41,46,49,52,53,57,60,64,65,68,69,70,71
Egypt,EGY,4.7,Medium,45,2.4,6.1,4.9,4.9,8.1,7.2,0,1.9,3.2,7,10,7,3.8,3.4,4.4,3.8,1.1,4.1,6.4,0.2,1.6,0,0.5,0.6,4.5,5.3,4.2,6.4,3.7,3.4,3.2,4,72,44,48,52,54,56,56,57,62,66,68,70,71,73
El Salvador,SLV,4.3,Medium,65,3.5,3.9,6.4,9.7,3,8.2,3.7,3.7,5.5,0.1,0.2,0,4.4,4.6,5.1,4.3,3.9,4.1,6,1.1,1.1,0.6,2.5,1.4,4.6,5.7,5.2,6.2,3.2,2.3,2.4,5,73,34,36,37,39,41,42,46,47,49,52,54,55,57
Equatorial Guinea,GNQ,3.4,Low,99,6.4,1.7,3,0.1,4.4,0,0,3.4,7.1,0.1,0.2,0,3.3,4.2,6.2,0,0.1,2.2,0,6,3.6,0,5.1,4,7.3,8.1,0,8.1,6.2,5,6.6,7,58,34,37,40,42,44,46,47,49,51,54,57,61,63
Eritrea,ERI,6.2,High,22,9.7,7.1,3.5,3.4,3.1,0,0,6.1,6,9,0.3,9,4.4,6,8.8,0,0.4,2.2,0,1,5.9,0,6.8,4,7.7,8,0,8,7.3,6.7,9.7,6,66,62,67,69,70,70,69,69,70,69,69,72,74,77
Estonia,EST,1.3,Very0Low,184,4.8,0.5,0.9,0.1,3.6,0,0,0,1.2,0,0,0,2.6,0.5,0.2,1.3,0.3,4.3,6.7,0.5,0.2,0,1.7,0.6,1.6,2.5,0,2.5,0.7,1,0.1,1,78,34,37,40,42,44,44,44,46,48,51,54,59,64
Ethiopia,ETH,7,Very0High,12,1.4,7.3,4.4,4.8,5.7,0,0,5.3,7.4,9,10,9,7.1,6.2,9.3,4.7,1.6,7.8,9.1,3,4.2,8.2,6.1,5.8,6.7,4.5,2.9,6.1,8.2,7.2,9.8,8,66,55,57,59,61,63,65,65,66,66,67,68,68,69
Federated States of Micronesia,FSM,3.6,Medium,91,6.9,2.3,4.2,0.1,0.1,8.6,3.8,5.4,2.8,0,0,0,3.9,5.6,5.6,3.8,7.3,1.6,0,4.2,1.9,0,5,3,5,5.6,6,5.2,4.4,5.8,2.7,5,68,52,55,57,59,61,62,64,65,66,67,68,69,70
Fiji,FJI,2.7,Low,127,3.5,2.2,3.9,3.5,0.1,8,3.1,2.5,3.4,0,0,0,3.4,3.2,3.1,3.2,3.4,3.6,0,4,2.1,10,2.1,6.1,2.7,2.3,0.1,4.5,3.1,2,3.1,4,67,66,68,69,70,71,73,74,75,76,77,78,80,81
Finland,FIN,0.9,Very0Low,188,4.6,0.3,0.5,0.1,0.1,0,0,1.5,1.2,0.1,0.1,0,2.1,0.2,0,0.7,0.1,3.6,5.8,0.1,0.2,0,1.4,0.4,1.3,1.7,2.2,1.2,0.8,1.5,0.5,1,82,67,69,71,71,72,74,75,76,77,78,79,81,82
