COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & E POSURE,Natural,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LOCC,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Life Expectancy(2023),1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
North Korea,PRK,4.3,Medium,65,7.7,3.1,5.2,4.9,7.4,4.6,6.5,4,2.8,0.3,0.4,0,3.9,4.7,7,0,0.1,2.9,0,3.9,1.7,0.1,9.2,5,6.4,8.1,0,8.1,3.7,7,3.4,1,72,73,73,73,74,74,75,76,76,77,78,79,81,82
Norway,NOR,0.9,Very0Low,188,3.8,0.3,0.6,0.8,0.1,0,0,1.5,1.1,0,0,0,1.9,0.2,0,0.7,0.1,3.4,5.6,0.1,0.2,0,1,0.3,1.5,1.8,2.3,1.3,1.2,1.7,1.9,0,83,36,41,45,49,52,57,62,66,68,71,73,75,76
Oman,OMN,2.6,Low,132,4.1,2.9,5,0.1,3.7,9.2,3.2,3.4,5.6,0.1,0.1,0,1.6,1.9,1.7,4.1,0,1.2,1.1,0.1,1.7,0,3.2,1.3,3.7,4.8,0,4.8,2.5,1.2,3.5,3,78,37,43,47,51,54,56,58,59,61,62,63,64,66
Pakistan,PAK,6.1,High,24,2,7.2,7.4,9.3,8.8,6.7,3.8,4.8,7.9,7,10,0,5.8,5.3,7.8,4.2,1.2,6.2,8,1.6,5.1,0.5,4.7,3.2,5.4,5.4,4,6.7,5.4,5.9,4.8,6,67,57,60,62,64,67,69,71,72,74,75,76,76,77
Panama,PAN,3.9,Medium,79,2.9,3.8,6.2,9.3,3,9.1,2.4,1.3,5.4,0.1,0.1,0,3.8,2.4,1.7,5.8,0.4,5,7.5,0.8,0.9,0.4,1.6,0.9,4.1,5,4.3,5.7,3,2,3.8,3,78,38,41,43,47,50,54,57,58,60,61,63,64,65
Papua New Guinea,PNG,5.9,High,26,5.6,5.1,6.7,9.7,5,8.6,2.6,2.5,6.5,2.9,4.1,0,5.5,6.2,8.1,7,1.7,4.6,4.8,5.5,4.8,0.2,6,4.4,7.3,6.8,6.7,6.8,7.8,6.8,9.6,7,64,63,63,65,65,66,67,67,68,69,69,71,72,73
Paraguay,PRY,2.6,Low,132,3,1.4,2.6,0.1,4.8,0,0,3.5,5.4,0.1,0.2,0,2.9,3.5,4.1,5.3,0.5,2.3,3.1,1.2,0.9,0.4,2.8,1.4,4.2,5.1,3.7,6.5,3.2,2.1,3,5,74,44,46,49,52,56,59,62,64,67,69,72,73,74
Peru,PER,4.8,Medium,43,2.2,4.6,7,9.9,6.4,9.3,0,4.3,5.3,0.8,1.2,0,5.5,3.4,4.1,5,0.4,7,9.4,0.7,0.8,0.1,2.4,1,4.4,4.8,3.6,6,3.9,2.1,4.4,5,77,55,57,59,60,61,62,63,65,66,67,67,68,69
Philippines,PHL,5.2,High,34,3,7.8,8.4,10,7.2,9.3,9.5,4.1,6.4,7,9.2,7,4.4,3.8,4.4,5,1.2,4.9,5.1,3.8,3.1,7.9,1.6,4.6,4.1,4.7,3.5,5.8,3.4,2.4,2.7,5,71,61,66,68,70,70,70,71,71,71,73,75,76,77
Poland,POL,2.5,Low,139,5.5,1.3,2.3,1.3,6.1,0,0,2.7,2.1,0.1,0.1,0,3.9,0.6,0.4,1.4,0.3,6.1,8.8,0.1,0.3,0,0.7,0.3,3,4.3,4.3,4.3,1.4,1.8,0,2,78,60,62,64,66,68,70,73,74,75,76,78,79,81
Portugal,PRT,2,Low,156,3.2,1.9,3.4,3.7,3.7,6.2,0.3,2.9,2,0.1,0.1,0,2.1,0.8,0.7,1.5,0.1,3.2,5.3,0.3,0.2,0,0.8,0.3,2,3,2.6,3.4,0.8,1.8,0,1,81,55,59,63,67,70,72,73,75,75,76,77,77,78
Qatar,QAT,1.4,Very0Low,180,4,0.9,1.7,0.1,0,1.6,0,4.3,3.1,0.1,0.1,0,1,1.2,1,2.5,0.1,0.8,1.1,0.3,0.4,0,1.4,0.5,2.9,4.1,4.7,3.5,1.6,1.2,0.2,4,80,43,47,50,52,54,55,57,57,55,52,52,58,63
Romania,ROU,2.7,Low,127,3.3,2.3,4.1,6.6,7,0,0,2.7,4.7,0.1,0.2,0,2.5,1.6,1.4,3.1,0.6,3.4,5.6,0.5,0.5,0,0.4,0.4,3.4,4.7,3.8,5.6,1.8,1.7,0.9,3,75,61,63,68,67,69,70,70,70,70,70,71,73,75
Russia,RUS,4.1,Medium,71,4.3,4.4,5.7,5.1,8.4,5.5,3.8,6.1,3.2,2.7,3.9,0,3.6,1.5,1.5,2.9,0.1,5.3,8,0.4,0.4,0,0.9,0.4,4.3,6,0,6,2,0.9,3.6,1,73,59,65,68,68,68,68,67,69,67,66,65,67,70
Rwanda,RWA,4.5,Medium,55,1.2,3,3.5,4.5,4.4,0,0,4.2,6.1,2.4,3.4,0,5.9,6.4,8.1,5.1,4.2,5.4,6.3,3.6,2.4,0.1,8.3,4.4,5,3.8,3,4.5,6,6,6.1,6,69,40,42,43,44,45,46,50,48,24,45,51,60,65
Saint Lucia,LCA,2.3,Low,145,6.4,1.4,2.6,4.3,0.1,0,4.7,0.5,4.6,0,0,0,2.3,3.5,3,6,2.1,0.9,0,0.1,1.3,0.1,4.9,1.8,3.9,4.9,5.2,4.6,2.7,3.1,0.8,4,76,52,55,59,62,64,67,70,71,71,71,72,74,75
Saint Vincent and the Grenadines,VCT,2.3,Low,145,5.9,1.4,2.6,5.1,0.1,0,4.3,0.5,4.1,0,0,0,2.6,3.4,3.2,0,3.8,1.7,0,0.2,1.1,6.7,2.7,3.1,3.5,4.4,0,4.4,2.4,3.4,0.8,3,72,51,55,61,64,66,67,68,70,70,71,71,72,73
Samoa,WSM,3.1,Low,112,6.1,2,3.6,4.3,0.1,6.9,4.4,0.5,3,0,0,0,3.4,5.3,3.7,4.1,9.5,1,0,4.9,1.1,0,1.3,2,4.2,4.4,4.6,4.1,4,3.8,2.1,6,73,46,48,51,53,56,59,61,63,66,68,70,72,74
São Tomé and Príncipe,STP,2.6,Low,132,2.7,0.7,1.3,0.1,0.1,0,0,0,5.7,0,0,0,4.8,5.8,6.5,5.6,4.6,3.7,0,3.2,1.2,10,4.4,6.2,5.3,5.9,0,5.9,4.7,4.2,4.5,5,70,46,49,52,54,57,60,61,61,62,63,64,65,66
Saudi Arabia,SAU,3.5,Medium,94,3.8,8.1,3.1,2.3,3.7,0,0,5,5.7,10,1.5,10,1.6,1.3,0.9,3.4,0,1.8,3.1,0.1,0.5,0,1,0.4,3.4,4.7,0,4.7,1.9,1.2,3.2,1,75,42,44,47,50,55,61,65,68,70,72,73,73,74
Senegal,SEN,4.2,Medium,68,0.9,2.6,4.4,0.1,4.8,6.4,0,6.1,6.2,0.3,0.4,0,5,6.4,8.5,5.2,3.2,3.1,4.1,1.9,3.1,0,2.4,1.9,5.5,5.1,4.7,5.4,5.8,5.3,5.6,6,68,35,37,39,38,41,47,51,56,58,57,59,62,66
Serbia,SRB,2.8,Low,124,2.5,2.5,4.4,5.5,8.9,0,0,2.9,3.9,0.1,0.1,0,2.4,1.5,1.3,2.1,1.4,3.2,5.1,0.1,0.3,0,2.4,0.8,3.7,5.3,4.9,5.6,1.7,1.6,1.2,2,76,59,62,64,67,69,70,70,71,72,72,72,73,75
Seychelles,SYC,1.9,Very0Low,160,5.4,1.6,2.9,0.1,0.1,8.6,0,0,2.8,0,0,0,1.4,1.5,1.9,1.8,0.5,1.2,0,0.1,1,0,6.2,2.3,2.9,3.9,4.3,3.5,1.7,0.9,0.8,3,73,58,59,63,64,67,69,70,71,71,71,72,72,73
Sierra Leone,SLE,4.4,Medium,61,1.8,2.2,3.9,0.1,4.6,5.8,0,1,7.9,0.1,0.2,0,5.8,7.1,9.1,5.7,4.3,4.1,2.8,6.6,5.5,0,6.8,5.2,6.8,5.2,3.5,6.8,8,7.6,8.2,8,54,29,30,31,33,37,40,41,39,36,37,41,46,50
Singapore,SGP,0.5,Very0Low,191,5,0.5,0.9,0.1,0.1,0,0,0,4.3,0.1,0.1,0,0.3,0.2,0,0.9,0,0.4,0,0.4,0.2,0,1.9,0.7,1,1.1,1.2,0.9,0.9,1.1,0,2,83,60,64,66,67,69,71,73,75,77,78,79,81,82
Slovakia,SVK,2.2,Low,150,4.2,1.5,2.8,4.2,6.7,0,0,1.5,2,0.1,0.1,0,2.6,0.9,0.8,1.3,0.5,4.1,6.4,0.1,0.4,0,2.4,0.8,2.6,3.9,3.4,4.4,1.1,1.5,0.1,2,77,64,69,71,70,70,70,71,71,72,73,74,75,76
Slovenia,SVN,1.6,Very0Low,176,3.3,1.9,3.4,6.1,4,5.7,0,0.5,1.5,0,0,0,1.3,0.2,0,0.4,0.2,2.3,3.8,0.1,0.2,0,1.6,0.5,1.6,2.2,0.9,3.5,0.9,1.4,0.1,1,81,66,68,69,69,70,71,71,73,74,75,77,79,80
Solomon Islands,SLB,4.5,Medium,55,6.5,3.5,5.9,8.4,0.1,8.7,4.1,3.2,5.9,0,0,0,4,5.7,6.7,3,6.4,1.7,0,4.4,2.6,0,4.8,3.2,6.5,6.5,6.6,6.3,6.5,5.7,7.8,6,73,45,48,50,53,56,58,59,56,58,61,65,67,70
Somalia,SOM,8.7,Very0High,1,5,8.9,6.9,1.6,7.5,8.1,1,10,6.4,10,10,10,8.6,7.2,8.7,2.9,8.4,9.5,10,2.1,8.8,10,9.8,8.8,8.6,9,0,9,8.2,7.4,7.5,10,57,34,36,38,40,42,44,45,46,45,50,51,53,55
South Africa,ZAF,5.3,High,31,1.6,6.8,5.1,2,5,4.9,0.4,9.1,4.7,8,7.9,8,5.4,4.2,4.5,7.5,0.3,6.4,6.2,5.8,1.9,10,2.5,6.5,4,4.5,3.9,5,3.4,1.9,3.7,5,64,49,51,53,55,57,57,58,61,62,59,54,53,59
South Korea,KOR,1.9,Very0Low,160,5.7,3.5,5.9,7.3,4.7,7.6,8.5,0.3,3,0.1,0.2,0,1.2,0.4,0,1.3,0.1,1.9,3.2,0.3,0.2,0,0.8,0.3,1.6,2.3,1.5,3,0.8,1.2,0,1,83,48,51,55,59,63,65,67,70,73,75,77,79,81
South Sudan,SSD,8.5,Very0High,2,7.5,7.3,4.1,2.8,7.1,0,0,3.5,7.3,9,10,9,8.8,8.6,9.7,4.8,10,8.9,10,6.6,6.9,6.4,7.7,6.9,9.4,9.3,0,9.3,9.5,9.5,9.6,10,58,28,31,33,35,37,39,39,42,45,48,50,52,55
Spain,ESP,2.3,Low,145,3,2.4,4,3.5,5.4,7,0,3.9,2.3,0.4,0.6,0,2.7,0.4,0,1.6,0.1,4.5,7,0.3,0.2,0,1.1,0.4,1.8,2.9,2.2,3.6,0.5,1.3,0,0,83,65,68,70,71,73,74,76,77,78,79,80,81,83
Sri Lanka,LKA,3.3,Low,106,3,3.3,5.2,0.1,6.1,8.5,3.6,3.8,5.7,0.8,1.2,0,2.7,3,3.2,4.5,1.1,2.4,3.3,0.3,2.6,1,1.8,1.5,4,4.7,3.6,5.7,3.2,2.8,2.7,4,77,55,58,60,63,65,67,69,69,70,69,73,74,75
Sudan,SDN,7.1,Very0High,10,3.2,7.3,4.2,0.1,8,0,0,5.3,6.5,9,10,9,7.2,6.2,8.5,4.8,2.8,8,9.9,1.6,5.9,0.9,3.6,3.3,6.7,6.5,4.9,8,6.9,6.2,8.3,6,65,45,47,49,51,53,54,54,55,56,58,59,62,64
Suriname,SUR,3.2,Low,109,3.5,2.3,4,0.1,8.6,3.2,0,1.5,5.7,0.1,0.1,0,3,3.5,3.6,5.8,0.8,2.4,2.8,0.6,1.5,2.3,2.9,1.9,4.9,6.1,0,6.1,3.5,1.7,3.7,5,72,56,59,61,62,64,65,67,67,68,68,68,70,71
Sweden,SWE,1.4,Very0Low,180,3.7,0.6,1.1,0.1,3.2,0,0,1,1.7,0.1,0.2,0,2.9,0.2,0,0.8,0.1,4.9,7.5,0.1,0.2,0.1,1.7,0.5,1.5,2.1,2.5,1.6,0.8,1.4,0.9,0,83,72,73,74,74,75,75,76,77,78,79,80,81,82
Switzerland,CHE,1.4,Very0Low,180,5.1,1.3,2.3,5.1,4.3,0,0,1,1.9,0.1,0.1,0,2.5,0.3,0,1.2,0.1,4.2,6.6,0.1,0.3,0,1.2,0.4,0.9,1.1,0.9,1.3,0.6,1.4,0,0,84,69,71,72,73,74,75,76,77,78,79,81,82,83
Syria,SYR,6.9,Very0High,14,8.3,7.8,5.9,7.8,5.2,5.6,0,7.8,6.1,9,10,9,7.8,6.5,6.1,6.4,7.3,8.7,10,0.4,2,10,3.1,5.7,5.5,6.6,4.6,8.6,4.1,4.3,2.9,5,72,48,51,53,57,61,64,67,70,71,73,74,74,70
Tajikistan,TJK,4.1,Medium,71,3.7,3.7,5.8,9.3,5.4,0,0,7.6,6.2,0.9,1.3,0,3.8,4.6,5,3.3,5,2.9,4.1,1.4,2.1,0.1,2.4,1.5,4.9,5.8,4.6,7,3.8,3,4.4,4,71,53,55,57,59,61,62,63,64,62,64,66,69,70
Tanzania,TZA,5.8,High,27,1.5,5.7,5.2,4.8,5.8,5.9,0.8,5.1,7,6.1,8.7,0,5.5,5.9,8.3,5.7,1.2,5.1,6.2,5.1,3.5,0,5.4,3.8,6.2,4.9,3.5,6.3,7.2,6,8.3,7,65,41,43,44,46,48,50,51,51,50,50,54,59,63
Thailand,THA,4,Medium,75,3.1,5.6,6.1,2.1,8.8,7.2,4.9,5.7,5.6,5,7.2,0,3,2.1,2.2,3.7,0.2,3.8,5.5,1,1.2,1.2,2.9,1.6,3.9,5.1,4.7,5.5,2.5,1.3,1.9,4,77,51,53,56,58,61,63,66,70,70,70,71,73,75
Timor-Leste,TLS,4,Medium,75,3,2.6,4.5,6.3,1.7,6,3.6,2,5.8,0.1,0.1,0,4.4,5.3,7.5,0.9,5.1,3.4,0,4.9,5.2,5.7,6.8,5.7,5.8,6.4,6.3,6.4,5.1,4.6,5.3,6,69,30,32,35,37,40,31,40,46,50,57,61,66,68
Togo,TGO,4.1,Medium,71,1.3,1.8,3.1,0.1,4.3,0,0,3,7.5,0.3,0.4,0,5,6.2,8,6,2.8,3.5,3.5,3.8,4.2,0.2,4.8,3.4,7.5,8,9.2,6.7,7,6.1,7.7,7,61,35,39,42,45,48,51,54,55,56,54,54,56,59
Tonga,TON,3.8,Medium,83,6.5,3,5.2,7.7,0.1,8,6.2,0.5,4,0,0,0,4.4,5.2,3.5,3.9,10,3.5,0,2.1,0.6,10,4.2,5.9,4.2,5.3,5.8,4.7,2.8,3.3,0.4,5,71,59,60,62,64,66,67,68,69,70,71,71,72,73
Trinidad and Tobago,TTO,2.6,Low,132,5.9,1.7,3.2,6.3,0.3,0,2.4,3.1,5,0,0,0,3.3,2.1,1.8,4.3,0.3,4.4,6.7,0.4,1.2,0,2.4,1,3.3,4.9,4.4,5.3,1.4,1.6,0.3,2,73,58,61,64,65,65,67,67,68,68,68,69,69,70
Tunisia,TUN,3,Low,119,2.1,2.7,4.4,5.7,3.8,7.5,0,4.1,2.7,0.6,0.9,0,2.1,2.4,2.5,2.9,1.8,1.8,3.1,0.3,0.9,0.1,0.1,0.4,4.7,6,6.4,5.5,3.1,2.7,2.4,4,77,39,41,44,48,54,59,64,67,70,72,74,75,75
Turkey,TUR,4.7,Medium,45,4.9,6.6,6.1,9.7,5.7,7,0,2.4,6,7,9.7,7,4.8,1.9,1.6,4.2,0.3,6.8,9.4,0.1,0.5,0.4,0,0.3,3.2,3.9,2.1,5.7,2.4,2.1,1.9,3,77,41,44,47,51,54,57,60,63,65,68,71,73,75
Turkmenistan,TKM,2.7,Low,127,4.1,2.1,3.7,3.3,6.4,0,0,4.3,5.6,0.1,0.2,0,1.6,1.5,2.3,0,0,1.6,2.5,0.3,2,0,0,0.6,5.9,7.7,0,7.7,3.2,2.6,3.3,4,68,51,53,56,58,59,60,62,63,63,63,64,66,67
Uganda,UGA,7.1,Very0High,10,2.2,7.4,4.5,4,5.1,0,0,6.3,7.9,9,8.8,9,6.8,6.2,8.2,5.8,2.6,7.3,8.8,6,2.5,1.3,7.7,4.9,7,6.8,0,6.8,7.1,6.4,8.5,6,63,40,43,45,48,49,49,49,47,45,45,50,55,59
Ukraine,UKR,5.1,High,35,5.9,5.4,3.1,2.5,7.1,0,0,2.7,4,7,7.5,7,5.4,1.6,1.3,1.7,2.1,7.7,10,1,0.6,0,1.8,0.9,4.5,6.3,0,6.3,2,1.5,1.4,3,72,62,67,70,71,71,70,69,71,69,67,67,68,71
United Arab Emirates,ARE,1.7,Very0Low,173,3.2,2.4,4.2,0.1,3.8,7,1.8,5,5.5,0.1,0.1,0,1.2,0.3,0.2,0.7,0,2,3.1,0.1,0.5,0,2.4,0.8,1.8,2.4,2.1,2.7,1.2,0.4,1.8,1,78,44,50,55,60,63,66,69,71,72,74,75,76,77
United Kingdom,GBR,1.9,Very0Low,160,4.4,1.8,2.4,0.6,4.8,4.9,0,1,1.5,1.1,1.5,0,2.4,0.5,0,2.1,0,3.9,6.2,0.1,0.3,0,1.1,0.4,1.6,2.2,2.1,2.2,0.9,1.6,0,1,81,69,71,71,72,72,73,74,75,76,77,78,80,81
United States,USA,3.2,Low,109,3.9,4.6,6.6,7.9,6.4,7.9,7.6,4.4,4,1.7,2.4,0,3.1,0.9,0,3.4,0,4.8,7.5,0.3,0.3,0,0,0.2,2.2,3,3,2.9,1.4,1.9,0.9,1,79,69,70,70,70,71,73,74,75,76,76,77,78,79
Uruguay,URY,1.8,Very0Low,167,3.3,0.9,1.7,0.3,3.9,0,0,2,3.1,0,0,0,2.5,1.8,1.7,3.8,0,3.2,5.2,0.5,0.5,0,1.2,0.6,2.6,3.6,4,3.1,1.5,1.3,2.4,1,78,66,67,68,69,69,70,71,72,73,74,75,76,77
Uzbekistan,UZB,3.4,Low,99,5.6,3.2,5.3,8.1,6.3,0,0,6.6,6.1,0.3,0.4,0,3.1,3.3,3.6,3.8,2,2.8,4.6,0.4,0.9,0.1,0.8,0.6,3.8,4.6,2.6,6.6,2.8,2,2.9,3,72,56,58,60,62,63,64,65,67,66,67,68,69,71
Vanuatu,VUT,4.2,Medium,68,5.3,3.3,5.6,7.7,0.1,8.5,4.5,5,4.4,0,0,0,4,5.3,5.8,1.8,7.9,2.4,0,3.6,2.3,7.1,3,4.3,5.6,5.6,5.4,5.7,5.5,4.9,5.5,6,70,42,45,48,51,54,57,60,62,64,66,68,70,71
Venezuela,VEN,5,High,41,9,6.6,6.2,9.2,5.6,6.8,4.6,2.2,6,7,5.9,7,3.8,3.7,3.8,6.4,0.8,3.9,4.4,1.3,1.9,2.5,6.6,3.4,5,5.6,2.5,8.6,4.3,2.9,3.7,6,72,55,58,61,63,66,67,69,69,70,72,73,73,74
Vietnam,VNM,3.4,Low,99,2.7,4.7,7.4,4.1,10,7.4,7.9,4.1,6.8,0.2,0.3,0,2,3.2,4.4,3.3,0.7,0.7,0,1.1,2.1,0.8,1.5,1.4,4,4.8,4.2,5.4,3.1,1.7,3.1,4,75,54,57,60,62,58,66,68,70,71,73,74,75,76
Yemen,YEM,8.1,Very0High,4,6.7,8.4,4.3,2.1,4.8,5.5,0,4.3,7.1,10,10,10,8.1,7.5,8.7,6.5,6.1,8.6,10,1.5,6.8,0.4,8.6,5.3,7.9,8.8,8.5,9,6.7,5.8,7.6,7,66,35,35,35,39,43,48,53,57,59,60,61,63,64
Zambia,ZMB,4.3,Medium,65,1.9,2.2,3.7,2.8,5.5,0,0,4.8,6.5,0.4,0.5,0,6,6.3,7.8,7.6,1.8,5.6,5.5,7,3.7,4,7,5.6,5.9,5.1,3.5,6.6,6.6,5.3,8.1,6,64,42,44,46,48,50,51,50,47,44,44,47,53,60
Zimbabwe,ZWE,4.5,Medium,55,1.6,3,4.9,2.2,6,0,0.4,9.4,4.8,0.6,0.8,0,5.4,6,7.1,6.7,3,4.7,4,5.3,3.2,0.5,8.8,5.3,5.8,5.1,2.6,7.6,6.5,5,7.8,7,61,49,51,52,54,56,58,61,60,55,47,44,48,58
